Year,Public protection,"Public works, transportation and commerce",Human welfare and neighborhood development,Community health,Culture and recreation,General administration and finance,General City responsibilities,Debt service,Capital outlay
1989,422096,62832,245917,136800,101416,134375,,32441,
1990,451575,75645,275066,163771,116972,128562,,51405,
1991,472915,82905,304817,194786,120339,147460,,68983,
1992,455007,96931,316645,232352,115369,154389,,64827,
1993,448308,109258,335406,307698,116907,142997,,63060,
1994,475844,85776,345523,300036,119274,138784,,74627,
1995,507231,116426,378922,347234,146990,137913,,79924,
1996,524499,118007,372763,356080,167379,138616,,86088,
1997,529302,139021,384519,390226,182505,142287,,99016,
1998,617595,134557,393003,430087,186733,149636,,115552,
1994,475844,85776,345523,300036,119274,138784,,74627,
1995,507231,116426,378922,347234,146990,137913,,79924,
1996,524499,118007,372763,356080,167379,138616,,86088,
1997,529339,143081,384962,390649,184377,147359,,99016,220331
1998,617756,134601,415636,430501,189743,149709,,115552,218401
1999,592833,169514,522487,455162,266879,174930,,109538,244070
2000,632737,231991,515007,434386,204081,174999,45194,124246,188793
2001,672119,299949,557242,454975,233863,150482,109753,145605,170472
2002,690050,296411,613133,484826,238326,164745,54628,140634,276662
2003,734811,267034,670670,524771,252477,163748,53323,166791,248928
2004,706758,165555,662948,512914,273163,153709,74623,142067,165872
2005,738494,195896,644899,501050,239022,135118,62799,146672,130224
2006,787398,274669,697102,471741,256979,161195,53763,164878,153493
2007,865556,280907,740171,509844,286135,167505,57532,173118,283370
2008,1018212,236569,828903,543046,309612,215054,71205,183514,133155
2009,999518,248161,886686,578828,313442,190680,73147,205713,152473
2010,1021505,243454,918301,581392,303134,187221,86498,246142,182448
2011,1031181,226920,870091,595222,310392,191641,85463,252108,214817
2012,1079203,250879,918414,653263,311156,203157,96150,276557,270094
2013,1145884,223218,945106,734736,328794,211138,81775,265644,410994
