Year,Property taxes,Business taxes,"Sales, use, utility and other local taxes","Fines, forfeitures and penalties",Interest and investment income,Rent and concessions,Intergovernmental,Charges for services,Other
1989,410125,142713,229846,50527,30410,,362908,81518,13886
1990,457867,152265,228964,50296,31714,,443821,90956,12795
1991,483887,156771,272577,50222,31534,,450405,92904,17245
1992,517312,142458,272548,56377,30177,,540639,96551,14375
1993,509348,154026,292427,53165,26553,,567127,117550,16324
1994,436619,164075,312942,66319,41274,52336,577621,92868,6047
1995,425361,168047,326640,21227,42093,39160,609885,115964,5002
1996,415009,175624,351790,22124,40770,49019,612853,117674,4408
1997,438250,201210,413935,22154,42227,59816,656127,126137,15885
1998,479912,223647,445628,24667,50115,65318,709078,164881,12038
1994,436619,164075,312942,66319,41274,52336,577621,92868,6047
1995,425361,168047,326640,21227,42093,39160,609885,115964,5002
1996,415009,175624,351790,22124,40770,49019,612853,117674,4408
1997,438250,201210,413935,3968,62775,60431,683646,136405,21874
1998,479912,223647,445628,6103,76674,65701,729056,167658,15384
1999,527176,229905,481362,19800,56023,61516,732226,161689,22577
2000,544210,267918,547470,12658,60542,72948,848982,186733,18834
2001,627654,277822,581480,12773,91429,75382,878364,215412,31119
2002,687150,274848,444590,12045,65597,63623,950671,225547,26405
2003,686154,276651,450677,9000,25570,55369,1035148,221883,27092
2004,721437,264832,509455,25183,11630,58979,993367,217647,57144
2005,918645,292763,538085,12509,28268,49450,897484,241750,57487
2006,1008151,323153,595664,14449,70046,52426,940474,263994,61565
2007,1107864,337592,668824,8871,83846,52493,980043,273057,44084
2008,1179688,396025,652971,13217,54256,70160,905317,288689,81321
2009,1272385,388653,603072,9694,33547,77014,953542,280407,30318
2010,1331957,354019,640225,22255,27038,78527,1008928,243128,51023
2011,1380356,391779,734404,11770,17041,78995,1097840,258015,97194
2012,1352857,437678,883368,30090,31371,89183,1042687,264856,83634
2013,1421764,480131,898486,49841,7489,98770,1118705,296059,81014
