Year,Property taxes,Business taxes,Sales and use tax,Hotel room tax,Utility users tax,Other local taxes,"Licenses, permits and franchises","Fines, forfeitures and penalties",Interest and investment income,Rent and concessions,Federal Intergovernmental Revenue,State Intergovernmental Revenue,Other Intergovernmental Revenue,Charges for services,Other,Total revenues
2004,721437,264832,182567,142437,70938,113513,23788,25183,11630,58979,344155,630953,18259,217647,57144,2883462
2005,918645,292763,161451,151993,72574,152067,25942,12509,28268,49450,348764,522937,25783,241750,57487,3062383
2006,1008151,323153,175138,173923,76444,170159,27662,14449,70046,52426,350985,565989,23500,263994,61565,3357584
2007,1107864,337592,184723,194290,78729,211082,27428,8871,83846,52493,381688,582666,15689,273057,44084,3584102
2008,1179688,396025,190967,219089,86964,155951,30943,13217,54256,70160,328315,561095,15907,288689,81321,3672587
2009,1272385,388653,172794,214460,89801,126017,32153,9694,33547,77014,362582,575774,15186,280407,30318,3680785
2010,1331957,354019,164769,186849,94537,194070,33625,22255,27038,78527,448890,552641,7397,243128,51023,3790725
2011,1380356,391779,181474,209962,91683,251285,35977,11770,17041,78995,484704,581119,32017,258015,97194,4103371
2012,1352857,437678,198236,239567,91676,353889,39770,30090,31371,89183,420974,588532,33181,264856,83634,4255494
2013,1421764,480131,208025,238782,91871,359808,40901,49841,7489,98770,420775,656141,41789,296059,81014,4493160
