CITY AND COUNTY OF SAN FRANCISCO,,,,,,,,
GENERAL GOVERNMENTAL EXPENDITURES BY FUNCTIONS )(3),,,,,,,,
Last Ten Fiscal Years,,,,,,,,
(In Thousands),,,,,,,,
"Public Works, Human",,,,,,,,
Transporta- Welfare and,Culture,General,,,,,,
Fiscal,Public,tion and,Neighborhood,Community,and,Administration,Debt,
Year,Protection,Commerce,Development,Health,Recreation,and Finance,Service,Iotel
1989,"$422,096 ","$62,832 ","$245,917 ","$136,800 ","$101,416 ","$134,375 ","$32,441 ","$1,135,877 "
% of Total,37.3,5.5,21.6,12,8.9,11.8,2.9,100
% Change....,-,-,-,-,-,-,-,-
1990,"451,575","75,645","275,066","163,771","116,972","128,562","51,405","1,262,996"
% of Total,35.7,6,21.7,13,9.3,10.2,4.1,100
% Change....,7,20.4,11.9,19.7,15.3,-4.3,58.5,11.2
1991,"472,915","82,905","304,817","194,786","120,339","147,460","68,983","1,392,205"
% of Total,34,6,21.9,14,8.6,10.6,4.9,100
% Change....,4.7,9.6,10.8,18.9,2.9,14.7,34.2,10.2
1992,"455,007","96,931","316,645","232,352","115,369","154,389","64,827","1,435,520"
% of Total.,31.6,6.8,22.1,16.2,8,10.8,4.5,100
% Change....,-3.8,16.9,3.9,19.3,-4.1,4.7,-6,3.1
1993,"448,308","109,258","335,406","307,698","116,907","142,997","63,060","1,523,634"
% of Total....,29.4,7.2,22,20.2,7.7,9.4,4.1,100
% Change....,-1.5,12.7,5.9,32.4,1.3,-7.4,-2.7,6.1
1994,"475,844","85,776","345,523","300,036","119,274","138,784","74,627","1,539,864"
% of Total ...,30.9,5.6,22.4,19.6,7.7,9,4.8,100
% Change....,6.1,-21.5,3,-2.5,2,-2.9,18.3,1.1
1995,"507,231","116,426","378,922","347,234","146,990","137,913","79,924","1,714,640"
% of Total,29.6,6.8,22.1,20.2,8.6,8,4.7,100
% Change....,6.6,35.7,9.7,15.7,23.2,-0.6,7.1,11.4
1996,"524,499","118,007","372,763","356,080","167,379","138,616","86,088","1,763,432"
% of Total,29.7,6.7,21.1,20.2,9.5,7.9,4.9,100
% Change....,3.4,1.4,-1.6,2.5,13.9,0.5,7.7,2.8
1997,"529,302","139,021","384,519","390,226","182,505","142,287","99,016","1,866,876"
% of Total,28.4,7.4,20.6,20.9,9.8,7.6,5.3,100
% Change....,0.9,17.8,3.2,9.6,9,2.6,15,5.9
1998,"617,595","134,557","393,003","430,087","186,733","149,636","115,552","2,027,163"
% of Total,30.5,6.6,19.4,21.2,9.2,7.4,5.7,100
% Change....,16.7,-3.2,2.2,10.2,2.3,5.2,16.7,8.6
(Notes on following page),,,,,,,,
135,,,,,,,,
