CITY AND COUNTY OF SAN FRANCISCO,,,,,,,,,,,
GENERAL REVENUES BY SOURCE (1)(3)(4)(5)(6),,,,,,,,,,,
Last Ten Fiscal Years,,,,,,,,,,,
(In Thousands),,,,,,,,,,,
"Licenses, Interest",,,,,,,,,,,
,,,Other,Fines,and,Rents and,,Charges,,,
Fiscal,Property,Business,Local,and,Investment,Conces-,Intergovern-,for,,,
Year,Taxes,Taxes,Taxes,Penalties(4),Income,sions^),mental^),Services,Other,Total,
1989,"$410,125 ","$142,713 ","$229,846 ","$50,527 ","$30,410 ",$,"$362,908 ","$81,518 ","$13,886 ","$1,321,933 ",
% of Total...,31,10.8,17.4,3.8,2.3,-,27.4,6.2,1.1,100,
% Change...,-,-,-,-,-,-,-,-,-,-,
1990,"457,867","152,265","228,964","50,296","31,714",-,"443,821","90,956","12,795","1,468,678",
% of Total...,31.1,10.4,15.6,3.4,2.2,-,30.2,6.2,0.9,100,
% Change...,11.6,6.7,-0.4,-0.5,4.3,-,22.3,11.6,-7.9,11.1,
1991,"483,887","156,771","272,577","50,222","31,534",-,"450,405","92,904","17,245","1,555,545",
% of Total...,31.1,10.1,17.5,3.2,2,-,29,6,1.1,100,
% Change...,5.7,3,19,-0.1,-0.6,-,1.5,2.1,34.8,5.9,
1992,"517,312","142,458","272,548","56,377","30,177",-,"540,639","96,551","14,375","1,670,437",
% of Total...,31,8.5,16.3,3.4,1.8,-,32.3,5.8,0.9,100,
% Change...,6.9,-9.1,-,12.3,-4.3,-,20,3.9,-16.6,7.4,
1993,"509,348","154,026","292,427","53,165","26,553",-,"567,127","117,550","16,324","? 1,736,520",
% of Total...,29.3,8.9,16.8,3.1,1.5,-,32.7,6.8,0.9,100,
% Change...,-1.5,8.1,7.3,-5.7,-12,-,4.9,21.7,13.6,4,
1994,"436,619","164,075","312,942","66,319","41,274","52,336","577,621","92,868","6,047","1,750,101",
% of Total...,24.9,9.4,17.9,3.8,2.4,3,33,5.3,0.3,100,
% Change...,-14.3,6.5,7,24.7,55.4,-,1.9,-21,-63,0.8,
1995,"425,361","168,047","326,640","21,227","42,093","39,160","609,885","115,964","5,002","1,753,379",
% of Total...,24.3,9.6,18.6,1.2,2.4,2.2,34.8,6.6,0.3,100,
% Change...,-2.6,2.4,4.4,-68,2,-25.2,5.6,24.9,-17.3,0.2,
1996,"415,009","175,624","351,790","22,124","40,770","49,019","612,853","117,674","4,408","1,789,271",
% of Total...,23.2,9.8,19.7,1.2,2.3,2.7,34.3,6.6,0.2,100,
% Change...,-2.4,4.5,7.7,4.2,-3.1,25.2,0.5,1.5,-11.9,2,
1997,"438,250","201,210","413,935","22,154","42,227","59,816","656,127","126,137","15,885","1,975,741",
% of Total...,22.2,10.2,21,1.1,2.1,3,33.2,6.4,0.8,100,
% Change...,5.6,14.6,17.7,0.1,3.6,22,7.1,7.2,260.4,10.4,
1998,"479,912","223,647","445,628","24,667","50,115","65,318","709,078","164,881","12,038","2,175,284",
% of Total...,22.1,10.3,20.5,1.1,2.3,3,32.6,7.6,0.6,100.1,
% Change...,9.5,11.2,7.7,11.3,18.7,9.2,8.1,30.7,-24.2,10.1,
(Notes on Mowing page),,,,,,,,,,,
