Fiscal Year	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003		2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Revenue																															
Property Taxes	410125	457867	483887	517312	509348	436619	425361	415009	438250	479912	436619	425361	415009	438250	479912	527176	544210	627654	687150	686154	Property taxes	721437	918645	1008151	1107864	1179688	1272385	1331957	1380356	1352857	1421764
Business Taxes	142713	152265	156771	142458	154026	164075	168047	175624	201210	223647	164075	168047	175624	201210	223647	229905	267918	277822	274848	276651	Business taxes	264832	292763	323153	337592	396025	388653	354019	391779	437678	480131
																					Sales and use tax	182567	161451	175138	184723	190967	172794	164769	181474	198236	208025
																					Hotel room tax	142437	151993	173923	194290	219089	214460	186849	209962	239567	238782
																					Utility users tax	70938	72574	76444	78729	86964	89801	94537	91683	91676	91871
Other Local Taxes	229846	228964	272577	272548	292427	312942	326640	351790	413935	445628	312942	326640	351790	413935	445628	481362	547470	581480	444590	450677	Other local taxes	113513	152067	170159	211082	155951	126017	194070	251285	353889	359808
																					"Licenses, permits and franchises"	23788	25942	27662	27428	30943	32153	33625	35977	39770	40901
Fines and Penalties	50527	50296	50222	56377	53165	66319	21227	22124	22154	24667	66319	21227	22124	22154	24667	40482	33681	36276	37807	30648	"Fines, forfeitures and penalties"	25183	12509	14449	8871	13217	9694	22255	11770	30090	49841
Investment Income	30410	31714	31534	30177	26553	41274	42093	40770	42227	50115	41274	42093	40770	42227	50115	42466	47132	68042	47209	20568	Interest and investment income	11630	28268	70046	83846	54256	33547	27038	17041	31371	7489
Rents and Concessions	-	-	-	-	-	52336	39160	49019	59816	65318	52336	39160	49019	59816	65318	61363	72380	73731	62360	54285	Rent and concessions	58979	49450	52426	52493	70160	77014	78527	78995	89183	98770
Intergovernmental	362908	443821	450405	540639	567127	577621	609885	612853	656127	709078	577621	609885	612853	656127	709078	696071	804723	858766	895979	994335	Intergovernmental:										
Charges for Services	81518	90956	92904	96551	117550	92868	115964	117674	126137	164881	92868	115964	117674	126137	164881	160540	185510	214638	224919	210989	Federal	344155	348764	350985	381688	328315	362582	448890	484704	420974	420775
Other	13886	12795	17245	14375	16324	6047	5002	4408	15885	12038	6047	5002	4408	15885	12038	19022	13898	30364	21753	25155	State	630953	522937	565989	582666	561095	575774	552641	581119	588532	656141
																					Other	18259	25783	23500	15689	15907	15186	7397	32017	33181	41789
																					Charges for services	217647	241750	263994	273057	288689	280407	243128	258015	264856	296059
																					Other	57144	57487	61565	44084	81321	30318	51023	97194	83634	81014
Total	1321933	1468678	1555545	1670437	1736520	1750101	1753379	1789271	1975741	2175284	1750101	1753379	1789271	1975741	2175284	2258387	2516922	2768773	2696615	2749462	Total revenues	2883462	3062383	3357584	3584102	3672587	3680785	3790725	4103371	4255494	4493160
																															
Expenditures																					Expenditures:										
Public Protection	422096	451575	472915	455007	448308	475844	507231	524499	529302	617595	475844	507231	524499	529302	617595	582460	632516	672119	690050	734811	Public protection	706758	738494	787398	865556	1018212	999518	1021505	1031181	1079203	1145884
"Public Works, Transportation and Commerce"	62832	75645	82905	96931	109258	85776	116426	118007	139021	134557	85776	116426	118007	139021	134557	234524	231970	299949	296411	267034	"Public works, transportation and commerce"	165555	195896	274669	280907	236569	248161	243454	226920	250879	223218
Human Welfare and Neighborhood Development	245917	275066	304817	316645	335406	345523	378922	372763	384519	393003	345523	378922	372763	384519	393003	435014	485201	557242	613133	670670	Human welfare and neighborhood development	662948	644899	697102	740171	828903	886686	918301	870091	918414	945106
Community Health	136800	163771	194786	232352	307698	300036	347234	356080	390226	430087	300036	347234	356080	390226	430087	452563	433448	454975	484826	524771	Community health	512914	501050	471741	509844	543046	578828	581392	595222	653263	734736
Culture and Recreation	101416	116972	120339	115369	116907	119274	146990	167379	182505	186733	119274	146990	167379	182505	186733	196008	201558	233506	237532	251657	Culture and recreation	273163	239022	256979	286135	309612	313442	303134	310392	311156	328794
General Administration and Finance	134375	128562	147460	154389	142997	138784	137913	138616	142287	149636	138784	137913	138616	142287	149636	148440	174566	150482	164745	163748	General administration and finance	153709	135118	161195	167505	215054	190680	187221	191641	203157	211138
General City Responsibilities																48093	45194	109753	54628	53323	General City responsibilities	74623	62799	53763	57532	71205	73147	86498	85463	96150	81775
Debt Service	32441	51405	68983	64827	63060	74627	79924	86088	99016	115552	74627	79924	86088	99016	115552	109538	124246	139138	140277	165157	Debt service:										
																					Principal retirement	78831	80306	86970	98169	106580	126501	154051	148231	167465	154542
																					Interest and fiscal charges	61886	61524	75975	71266	75844	74466	89946	101716	103706	108189
																					Bond issuance costs	1350	4842	1933	3683	1090	4746	2145	2161	5386	2913
																					Capital outlay	165872	130224	153493	283370	133155	152473	182448	214817	270094	410994
Total	1135877	1262996	1392205	1435520	1523634	1539864	1714640	1763432	1866876	2027163	1539864	1714640	1763432	1866876	2027163	2206640	2328699	2617164	2681602	2831171	Total expenditures	2857609	2794174	3021218	3364138	3539270	3648648	3770095	3777835	4058873	4347289
																					Excess (deficiency) of revenues over (under) expenditures	25853	268209	336366	219964	133317	32137	20630	325536	196621	145871
