CHANGES IN FUND BALANCES OF GOVERNMENTAL FUNDS										
Last Ten Fiscal Years										
(modified accrual basis of accounting)										
(In Thousands)										
										
Fiscal Year	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Revenues:										
Property taxes	721437	918645	1008151	1107864	1179688	1272385	1331957	1380356	1352857	1421764
Business taxes	264832	292763	323153	337592	396025	388653	354019	391779	437678	480131
Sales and use tax	182567	161451	175138	184723	190967	172794	164769	181474	198236	208025
Hotel room tax	142437	151993	173923	194290	219089	214460	186849	209962	239567	238782
Utility users tax	70938	72574	76444	78729	86964	89801	94537	91683	91676	91871
Other local taxes	113513	152067	170159	211082	155951	126017	194070	251285	353889	359808
"Licenses, permits and franchises"	23788	25942	27662	27428	30943	32153	33625	35977	39770	40901
"Fines, forfeitures and penalties"	25183	12509	14449	8871	13217	9694	22255	11770	30090	49841
Interest and investment income	11630	28268	70046	83846	54256	33547	27038	17041	31371	7489
Rent and concessions	58979	49450	52426	52493	70160	77014	78527	78995	89183	98770
Intergovernmental:										
Federal	344155	348764	350985	381688	328315	362582	448890	484704	420974	420775
State	630953	522937	565989	582666	561095	575774	552641	581119	588532	656141
Other	18259	25783	23500	15689	15907	15186	7397	32017	33181	41789
Charges for services	217647	241750	263994	273057	288689	280407	243128	258015	264856	296059
Other	57144	57487	61565	44084	81321	30318	51023	97194	83634	81014
Total revenues	2883462	3062383	3357584	3584102	3672587	3680785	3790725	4103371	4255494	4493160
Expenditures:										
Public protection	706758	738494	787398	865556	1018212	999518	1021505	1031181	1079203	1145884
"Public works, transportation and commerce"	165555	195896	274669	280907	236569	248161	243454	226920	250879	223218
Human welfare and neighborhood development	662948	644899	697102	740171	828903	886686	918301	870091	918414	945106
Community health	512914	501050	471741	509844	543046	578828	581392	595222	653263	734736
Culture and recreation	273163	239022	256979	286135	309612	313442	303134	310392	311156	328794
General administration and finance	153709	135118	161195	167505	215054	190680	187221	191641	203157	211138
General City responsibilities	74623	62799	53763	57532	71205	73147	86498	85463	96150	81775
Debt service:										
Principal retirement	78831	80306	86970	98169	106580	126501	154051	148231	167465	154542
Interest and fiscal charges	61886	61524	75975	71266	75844	74466	89946	101716	103706	108189
Bond issuance costs	1350	4842	1933	3683	1090	4746	2145	2161	5386	2913
Capital outlay	165872	130224	153493	283370	133155	152473	182448	214817	270094	410994
Total expenditures	2857609	2794174	3021218	3364138	3539270	3648648	3770095	3777835	4058873	4347289
Excess (deficiency) of revenues over (under) expenditures	25853	268209	336366	219964	133317	32137	20630	325536	196621	145871
