Revenues
Fiscal Year	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
Property Taxes	436619	425361	415009	438250	479912	527176	544210	627654	687150	686154
Business Taxes	164075	168047	175624	201210	223647	229905	267918	277822	274848	276651
Other Local Taxes	312942	326640	351790	413935	445628	481362	547470	581480	444590	450677
Licenses Fines and Penalties	66319	21227	22124	22154	24667	40482	33681	36276	37807	30648
Interest and Investment Income	41274	42093	40770	42227	50115	42466	47132	68042	47209	20568
Rents and Concessions	52336	39160	49019	59816	65318	61363	72380	73731	62360	54285
Intergovernmental	577621	609885	612853	656127	709078	696071	804723	858766	895979	994335
Charges for Services	92868	115964	117674	126137	164881	160540	185510	214638	224919	210989
Other	6047	5002	4408	15885	12038	19022	13898	30364	21753	25155
Total	1750101	1753379	1789271	1975741	2175284	2258387	2516922	2768773	2696615	2749462

Expenditures
Fiscal Year	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
Public Protection	475844	507231	524499	529302	617595	582460	632516	672119	690050	734811
"Public Works, Transportation and Commerce"	85776	116426	118007	139021	134557	234524	231970	299949	296411	267034
Human Welfare and Neighborhood Development	345523	378922	372763	384519	393003	435014	485201	557242	613133	670670
Community Health	300036	347234	356080	390226	430087	452563	433448	454975	484826	524771
Culture and Recreation	119274	146990	167379	182505	186733	196008	201558	233506	237532	251657
General Administration and Finance	138784	137913	138616	142287	149636	148440	174566	150482	164745	163748
General City Responsibilities						48093	45194	109753	54628	53323
Debt Service	74627	79924	86088	99016	115552	109538	124246	139138	140277	165157
Total	1539864	1714640	1763432	1866876	2027163	2206640	2328699	2617164	2681602	2831171
